Date,Open,High,Low,Close,Volume,daily_returns,log_returns
2019-01-03,34.37996500461738,34.79544861163196,33.90717582666171,33.952545166015625,365248800,-0.09960726678847986,-0.10492424060460627
2019-01-04,34.51129909207251,35.47120756069544,34.33698856068237,35.40195846557617,234428400,0.04268938580225545,0.04180332322985932
2019-01-07,35.50702598113695,35.53806893235708,34.838432953925036,35.32316207885742,219111200,-0.002225763492586741,-0.0022282441857903426
2019-01-08,35.71238012518734,36.252031964944926,35.46404744152661,35.99653244018555,164101200,0.019063139359518644,0.018883714401016046
2019-01-09,36.12546466353278,36.899122599597206,35.72908780407582,36.60780715942383,180396400,0.01698148898797469,0.016838915315693072
2019-01-10,36.4143930484411,36.76540421062059,36.0227892295961,36.72481155395508,143122800,0.0031961596066572007,0.003191062745907548
2019-01-11,36.505131049002856,36.70093113306616,36.17799599722251,36.3642463684082,108092800,-0.009818026840441196,-0.009866541472441898
2019-01-14,36.02040314758041,36.12069153176698,35.6311858414098,35.81743621826172,129756800,-0.015037026880929116,-0.015151229258657839
2019-01-15,35.88190613728261,36.62690759306695,35.82937360965292,36.550498962402344,114843600,0.02046664478366189,0.0202600175632446
2019-01-16,36.552891948161815,37.2214848915979,36.53378887623068,36.99702835083008,122278800,0.012216779554420132,0.012142756971661669
2019-01-17,36.820328582509624,37.64651915724122,36.59587203616769,37.21670913696289,119284800,0.0059377954372350494,0.005920236204377427
2019-01-18,37.60830491081558,37.69904357431026,37.24535390037461,37.4459342956543,135004000,0.006159200101433671,0.0061403097550890755
2019-01-22,37.34804579709985,37.4244544540563,36.443056286243944,36.605430603027344,121576000,-0.022445793073041176,-0.02270153400343348
2019-01-23,36.808378971849464,37.044775331365805,36.22336165286512,36.75345993041992,92522400,0.004043917117050322,0.004035762461334071
2019-01-24,36.79883920993108,36.8871877322328,36.23292480528311,36.462154388427734,101766000,-0.007925935205656098,-0.007957512393266974
2019-01-25,37.12597009160104,37.758747061916615,36.84898465327017,37.67039489746094,134142000,0.03313683816271351,0.03259964812420025
