Date,Open,High,Low,Close,Volume,daily_returns,log_returns,SPY_rolling_volatility
2019-01-03,225.86318089493463,226.172555676746,221.71406285447193,222.20541381835935,144140700,-0.0238628007601326,-0.0241521294568343,
2019-01-04,225.28084816984293,230.30347130807368,224.8986940233537,229.6483459472656,142628800,0.033495728123845,0.0329469667241235,
2019-01-07,229.92132096515152,232.88757303729145,229.01142615829835,231.45904541015625,103139100,0.0078846614610776,0.0078537399486556,
2019-01-08,233.6792089142765,234.12504851819773,231.11329869753865,233.6336975097656,102512600,0.0093954077091944,0.0093515453884078,
2019-01-09,234.35251046584284,235.5808740413283,233.10595899013936,234.72557067871097,95006600,0.0046734404351056,0.0046625538178167,
2019-01-10,233.16966874578844,235.80835832059375,232.47813975749088,235.5535888671875,96823900,0.0035276011304703,0.0035213937394522,
2019-01-11,234.46171224902776,235.67188802157057,233.870286114858,235.64459228515625,73858100,0.0003863384905591,0.0003862638810602,
2019-01-14,233.7155734537228,235.02582423454177,233.30613743958355,234.20692443847656,70908200,-0.0061010008026831,-0.0061196879537321,
2019-01-15,234.58905036049188,237.209551451561,234.57994252810653,236.89108276367188,85208300,0.0114606275268365,0.01139545203054,
2019-01-16,237.3278185341597,238.3651118038723,237.1185605279343,237.46432495117188,77636700,0.0024198554914449,0.0024169323559059,
2019-01-17,236.5817873366098,240.1394798104817,236.53627592987817,239.26596069335935,96118400,0.0075869743489171,0.0075583380099371,
2019-01-18,241.10391981183653,242.92370930399017,239.3023182182022,242.45054626464844,127900300,0.013309814576468,0.0132220171811425,
2019-01-22,240.95838662381172,241.17675252548497,237.53717273605,239.1749725341797,115531200,-0.0135102757281201,-0.0136023699225468,
2019-01-23,240.22134223018577,240.9310590847359,237.1731890053128,239.67539978027344,86030300,0.0020923060669411,0.0020901202430129,
2019-01-24,239.4934039908293,240.3942187304069,238.46521841772497,239.80276489257812,59204100,0.0005314066959789,0.0005312655494426,
2019-01-25,241.67716905377776,242.66897892219663,239.90289067418308,241.8318634033203,96883400,0.0084615309237621,0.0084259328395413,
2019-01-28,239.65719408975892,240.0575222376717,238.20135692065872,239.9938507080078,85613700,-0.0076003743652551,-0.0076294043967823,
2019-01-29,240.1394550278669,240.71266544409903,238.82920425519185,239.67539978027344,66136300,-0.0013269128637876,-0.0013277939922016,
